PDB ID,Protein Name
3ST8,"crystal structure of glmu from mycobacterium tuberculosis in complex with coenzyme a, glucosamine 1-phosphate and uridine-diphosphate-n- acetylglucosamine"
4DMB,"x-ray structure of human hepatitus c virus ns5a-transactivated protein 2 at the resolution 1.9a, northeast structural genomics consortium (nesg) target hr6723"
2CJA,crystal structure of methanosarcina barkeri seryl-trna synthetase complexed with atp
3WCA,"the complex structure of tcsqs with ligand, fspp"
1KHZ,structure of the adpr-ase in complex with ampcpr and mg
3B1R,structure of burkholderia thailandensis nucleoside kinase (bthnk) in complex with amp-mg-amp
3WAG,crystal structure of glycosyltransferase vinc in complex with dtdp
2EH3,"crystal structure of aq_1058, a transcriptional regulator (terr/acrr family) from aquifex aeolicus vf5"
2QT0,human nicotinamide riboside kinase 1 in complex with nicotinamide riboside and an atp analogue
2H28,crystal structure of yeeu from e. coli. northeast structural genomics target er304
2GPY,crystal structure of putative o-methyltransferase from bacillus halodurans
3IUK,"crystal structure of putative bacterial protein of unknown function (duf885, pf05960.1, ) from arthrobacter aurescens tc1, reveals fold similar to that of m32 carboxypeptidases"
4FYP,crystal structure of plant vegetative storage protein
3UMB,crystal structure of the l-2-haloacid dehalogenase rsc1362
3BP1,crystal structure of putative 7-cyano-7-deazaguanine reductase quef from vibrio cholerae o1 biovar eltor
1ZOO,cd11a i-domain with bound magnesium ion
3ECN,crystal structure of pde8a catalytic domain in complex with ibmx
3E27,nicotinic acid mononucleotide (namn) adenylyltransferase from bacillus anthracis: product complex
3C9H,crystal structure of the substrate binding protein of the abc transporter from agrobacterium tumefaciens
3KD5,closed ternary complex of an rb69 gp43 fingers domain mutant complexed with an acyclic gmp terminated primer template pair and phosphonoformic acid.
4AUI,structure and function of the porb porin from disseminating n. gonorrhoeae
3IS5,"crystal structure of cdpk kinase domain from toxoplasma gondii, tgme49_018720"
1SH3,crystal structure of norwalk virus polymerase (mgso4 crystal form)
4N0N,crystal structure of arterivirus nonstructural protein 10 (helicase)
4N5V,alternative substrates of mycobacterium tuberculosis anthranilate phosphoribosyl transferase
2XZS,death associated protein kinase 1 residues 1-312
2OUY,crystal structure of pde10a2 mutant d564a in complex with camp.
1ZSH,crystal structure of bovine arrestin-2 in complex with inositol hexakisphosphate (ip6)
4Q7F,1.98 angstrom crystal structure of putative 5'-nucleotidase from staphylococcus aureus in complex with adenosine.
3V3W,crystal structure of an enolase from the soil bacterium cellvibrio japonicus (target efi-502161) with bound mg and glycerol
2XAM,"inositol 1,3,4,5,6-pentakisphosphate 2-kinase from a. thaliana in complex with adp and ip6."
4GFH,topoisomerase ii-dna-amppnp complex
3K4Z,crystal structure of the cellulosomal cbm4 from clostridium thermocellum cellulase cbha
4ERU,"crystal structure of putative cytoplasmic protein, ycif bacterial stress response protein from salmonella enterica"
3KYL,structure of the catalytic subunit of telomerase bound to its rna template and telomeric dna
3V9X,crystal structure of rnase t in complex with a preferred ssdna (aaa) with two mg in the active site
1YM0,"crystal structure of earthworm fibrinolytic enzyme component b: a novel, glycosylated two-chained trypsin"
3TDW,the gdp complex of the aminoglycoside 2'-phosphotransfere-iiia f108l mutant
1ID0,crystal structure of the nucleotide bond conformation of phoq kinase domain
3T1O,mgla bound to gdp
4KG0,crystal structure of the drosophila melanogaster neuralized-nhr1 domain
3DXJ,crystal structure of thermus thermophilus rna polymerase holoenzyme in complex with the antibiotic myxopyronin
4QHZ,crystal structure of a putative glycosyl hydrolase (bdi_3914) from parabacteroides distasonis atcc 8503 at 2.13 a resolution
1C9K,the three dimensional structure of adenosylcobinamide kinase/ adenosylcobinamide phosphate gualylyltransferase (cobu) complexed with gmp: evidence for a substrate induced transferase active site
2X5Z,crystal structure of t. maritima gdp-mannose pyrophosphorylase in complex with gdp-mannose.
3E7E,structure and substrate recruitment of the human spindle checkpoint kinase bub
4M8O,ternary complex of dna polymerase epsilon with an incoming datp
3D2J,"structure of berberine bridge enzyme from eschscholzia californica, tetragonal crystal form"
2XRI,crystal structure of human eri1 exoribonuclease 3
4KIT,crystal structure of human brr2 in complex with the prp8 jab1/mpn domain
3MEL,"crystal structure of thiamin pyrophosphokinase family protein from enterococcus faecalis, northeast structural genomics consortium target efr150"
3AU0,structural and biochemical characterization of clfb:ligand interactions
2XKK,"crystal structure of moxifloxacin, dna, and a. baumannii topo iv (pare-parc fusion truncate)"
1VW4,structure of the yeast mitochondrial large ribosomal subunit
2A19,pkr kinase domain- eif2alpha- amp-pnp complex.
4H16,crystal structure of a short chain alcohol dehydrogenase-related dehydrogenase (target id nysgrc-011812) from sinorhizobium meliloti 1021 in space group p6422
4Q8H,structure of the saccharomyces cerevisiae pan2 pseudoubiquitin- hydrolase-rnase module
4AF5,structure of the c. glutamicum acnr crystal form i
1TXU,crystal structure of the vps9 domain of rabex-5
3KEO,crystal structure of a rex-family transcriptional regulatory protein from streptococcus agalactiae complexed with nad+
