PDB ID,Protein Name
3Q3Q,crystal structure of spap: an novel alkaline phosphatase from bacterium sphingomonas sp. strain bsar-1
2YAY,the crystal structure of leishmania major dutpase in complex with substrate analogue dupnpp
2RLD,crystal structure of a protein with unknown function from s23 ribosomal protein family (bt_0352) from bacteroides thetaiotaomicron vpi-5482 at 1.70 a resolution
1OMR,non-myristoylated wild-type bovine recoverin with calcium bound to ef- hand 3
2I1Q,rada recombinase in complex with calcium
4IU2,cohesin-dockerin -x domain complex from ruminococcus flavefacience
3H7D,the crystal structure of the cathepsin k variant m5 in complex with chondroitin-4-sulfate
2NXP,structure of ntd2 domain of the human taf5 subunit of tfiid
3QGV,crystal structure of a thermostable amylase variant
4MKF,crystal structure of a stable adenylate kinase variant akv3
1MNZ,atomic structure of glucose isomerase
2WFK,calcium bound lipl32
3QTA,crystal structure of a chec-like protein (rrnac0528) from haloarcula marismortui atcc 43049 at 2.00 a resolution
3ASI,alpha-neurexin-1 ectodomain fragment; lns5-egf3-lns6
2XWG,crystal structure of sortase c-1 from actinomyces oris (formerly actinomyces naeslundii)
2HNF,structure of a hyper-cleavable monomeric fragment of phage lambda repressor containing the cleavage site region
3GZK,structure of a. acidocaldarius cellulase cela
5CHY,structure of chemotaxis protein chey
2DSO,"crystal structure of d138n mutant of drp35, a 35kda drug responsive protein from staphylococcus aureus"
2HQ8,crystal structure of coelenterazine-binding protein from renilla muelleri in the ca loaded apo form
3ZUK,crystal structure of mycobacterium tuberculosis zinc metalloprotease zmp1 in complex with inhibitor
1TDQ,structural basis for the interactions between tenascins and the c-type lectin domains from lecticans: evidence for a cross-linking role for tenascins
3UKG,crystal structure of rap1/dna complex
1F4N,"c2 crystal structure of ala2ile2-6, a version of rop with a repacked hydrophobic core and a new fold."
2E85,crystal structure of the hydrogenase 3 maturation protease
2BNG,structure of an m.tuberculosis leh-like epoxide hydrolase
3P5C,the structure of the ldlr/pcsk9 complex reveals the receptor in an extended conformation
3HJR,crystal structure of serine protease of aeromonas sobria
4B7U,plasmodium falciparum l-lactate dehydrogenase complexed with bicine
3QGM,p-nitrophenyl phosphatase from archaeoglobus fulgidus
4PTF,ternary crystal structure of yeast dna polymerase epsilon with template g
1O5K,crystal structure of dihydrodipicolinate synthase (tm1521) from thermotoga maritima at 1.80 a resolution
4D90,crystal structure of del-1 egf domains
3WMW,gale-like l-threonine dehydrogenase from cupriavidus necator (apo form)
1JC9,tachylectin 5a from tachypleus tridentatus (japanese horseshoe crab)
3KPT,"crystal structure of bcpa, the major pilin subunit of bacillus cereus"
3LNP,crystal structure of amidohydrolase family protein olei01672_1_465 from oleispira antarctica
2KID,solution structure of the s. aureus sortase a-substrate complex
3RZA,crystal structure of a tripeptidase (sav1512) from staphylococcus aureus subsp. aureus mu50 at 2.10 a resolution
3IPR,crystal structure of the enterococcus faecalis gluconate specific eiia phosphotransferase system component
1R17,crystal structure analysis of s.epidermidis adhesin sdrg binding to fibrinogen (adhesin-ligand complex)
3S55,crystal structure of a putative short-chain dehydrogenase/reductase from mycobacterium abscessus bound to nad
4NWV,crystal structure of orsay virus-like particle
2QV6,gtp cyclohydrolase iii from m. jannaschii (mj0145) complexed with gtp and metal ions
1YU0,major tropism determinant p1 variant
1Y1X,structural analysis of a homolog of programmed cell death 6 protein from leishmania major friedlin
3HX6,crystal structure of pseudomonas aeruginosa pily1 c-terminal domain
4IU2,cohesin-dockerin -x domain complex from ruminococcus flavefacience
3ZM8,"crystal structure of podospora anserina gh26-cbm35 beta-(1,4)- mannanase"
3VOT,crystal structure of l-amino acid ligase from bacillus licheniformis
3B40,crystal structure of the probable dipeptidase pvdm from pseudomonas aeruginosa
1F0O,pvuii endonuclease/cognate dna complex (glutaraldehyde-crosslinked crystal) at ph 7.5 with two calcium ions at each active site
1E8U,structure of the multifunctional paramyxovirus hemagglutinin- neuraminidase
