PDB ID,Protein Name
5WRO,crystal structure of drosophila enolase
2EV0,bacillus subtilis manganese transport regulator (mntr) bound to cadmium
4V0K,crystal structure of the crarl6dn in the gdp bound form
1CVM,cadmium inhibited crystal structure of phytase from bacillus amyloliquefaciens
2BYM,histone fold heterodimer of the chromatin accessibility complex
5VJU,"de novo photosynthetic reaction center protein variant equipped with his-tyr h-bond, heme b, and cd(ii) ions"
4V0K,crystal structure of the crarl6dn in the gdp bound form
1G01,alkaline cellulase k catalytic domain
2IY2,crystal structure of the n-terminal dimer domain of e.coli dsbg
4W78,crystal structure of the chsh1-chsh2 complex from mycobacterium tuberculosis
4O84,saicar synthetase (type-1) in complex with gmp
5AN6,crystal structure of thermotoga maritima csm2
1RP4,"structure of ero1p, source of disulfide bonds for oxidative protein folding in the cell"
5WYF,"structure of amino acid racemase, 2.12 a"
3P5W,actinidin from actinidia arguta planch (sarusashi)
2C3G,structure of cbm26 from bacillus halodurans amylase
4DKI,structural insights into the anti- methicillin-resistant staphylococcus aureus (mrsa) activity of ceftobiprole
4W78,crystal structure of the chsh1-chsh2 complex from mycobacterium tuberculosis
5BX9,structure of pslg from pseudomonas aeruginosa
4MBU,crystal structure of n-acetyltransferase from staphylococcus aureus mu50
3KXD,crystal structure of the mthk rck in complex with cadmium
4Q6T,the crystal structure of a class v chitininase from pseudomonas fluorescens pf-5
6GGV,structure of the arginine-bound form of truncated (residues 20-233) argbp from t. maritima
4J0D,tannin acyl hydrolase from lactobacillus plantarum (cadmium)
1ZWW,crystal structure of endophilin-a1 bar domain
2XVC,molecular and structural basis of escrt-iii recruitment to membranes during archaeal cell division
1ESF,staphylococcal enterotoxin a
2J4K,crystal structure of uridylate kinase from sulfolobus solfataricus in complex with ump to 2.2 angstrom resolution
5AN6,crystal structure of thermotoga maritima csm2
6V70,crystal structure of metallo beta lactamase from hirschia baltica with cadmium in the active site
2JF5,crystal structure of lys63-linked di-ubiquitin
2ZNB,metallo-beta-lactamase (cadmium-bound form)
2XDV,crystal structure of the catalytic domain of flj14393
5AC3,crystal structure of pam12a
5NYY,formylglycine generating enzyme from t. curvata in complex with cd(ii)
4O81,saicar synthetase (type-1) in complex with adp and amp
1RWI,extracellular domain of mycobacterium tuberculosis pknd
1VEL,mycobacterium smegmatis dps tetragonal form
1ZPS,crystal structure of methanobacterium thermoautotrophicum phosphoribosyl-amp cyclohydrolase hisi
2B3P,crystal structure of a superfolder green fluorescent protein
4M5E,tse3 structure
4O9B,the structure of cc1-ih in human stim1.
3RZZ,structure of hydroxyethylphoshphonate dioxygenase y98f mutant
4JA4,inward open conformation of the xylose transporter xyle from e. coli
5F1F,crystal structure of cmy-10 adenylylated by acetyl-amp
4CL3,1.70 a resolution structure of the malate dehydrogenase from chloroflexus aurantiacus
6SCX,crystal structure of the catalytic domain of human nudt12 in complex with 7-methyl-guanosine-5'-triphosphate
3HEQ,human prion protein variant d178n with m129
1JGM,high resolution structure of the cadmium-containing phosphotriesterase from pseudomonas diminuta
4H44,2.70 a cytochrome b6f complex structure from nostoc pcc 7120
1DYP,"1,3-alpha-1,4-beta-d-galactose-4-sulfate- 3,6-anhydro-d-galactose 4 galactohydrolase"
1CDP,restrained least squares refinement of native (calcium) and cadmium- substituted carp parvalbumin using x-ray crystallographic data at 1.6-angstroms resolution
1S24,rubredoxin domain ii from pseudomonas oleovorans
5B42,crystal structure of the c-terminal endonuclease domain of aquifex aeolicus mutl.
3LKW,crystal structure of dengue virus 1 ns2b/ns3 protease active site mutant
2JIH,crystal structure of human adamts-1 catalytic domain and cysteine- rich domain (complex-form)
1P8Z,complex between rabbit muscle alpha-actin: human gelsolin residues val26-glu156
1Z98,crystal structure of the spinach aquaporin sopip2;1 in a closed conformation
6IMJ,the crystal structure of se-asfvlig:dna complex
1X3E,crystal structure of the single-stranded dna-binding protein from mycobacterium smegmatis
1FA7,crystal structure of cd(ii)-bound glyoxalase i of escherichia coli
5WYF,"structure of amino acid racemase, 2.12 a"
4AQ4,substrate bound sn-glycerol-3-phosphate binding periplasmic protein ugpb from escherichia coli
1N0I,crystal structure of ferrochelatase with cadmium bound at active site
2GBR,crystal structure of the 35-36 moad insertion mutant of ubiquitin
