PDB ID,Protein Name
2AKL,solution structure for phn-a like protein pa0128 from pseudomonas aeruginosa
2AQP,cu/zn superoxide dismutase from neisseria meningitidis e73a mutant
2AU3,crystal structure of the aquifex aeolicus primase (zinc binding and rna polymerase domains)
2AYJ,solution structure of 50s ribosomal protein l40e from sulfolobus solfataricus
2B5W,crystal structure of d38c glucose dehydrogenase mutant from haloferax mediterranei
2BJR,crystal structure of the nematode sperm cell motility protein mfp2b
2BNM,the structure of hydroxypropylphosphonic acid epoxidase from s. wedmorenis.
2BZ1,crystal structure of apo e. coli gtp cyclohydrolase ii
2C6A,solution structure of the c4 zinc-finger domain of hdm2
2CS2,solution structure of the second zn-finger domain of poly(adp-ribose) polymerase-1
2CS3,solution structure of the zf-c3hc4 domain of human kiaa1865
2CS8,solution structure of tandem repeat of the fifth and sixth zinc-finger c2hc domains from human st18
2CTT,solution structure of zinc finger domain from human dnaj subfamily a menber 3
2D8S,solution structure of the ring domain of the human cellular modulator of immune recognition protein
2DJR,solution structures of the c2h2 type zinc finger domain of human zinc finger bed domain containing protein 2
2DPH,crystal structure of formaldehyde dismutase
2E61,solution structure of the zf-cw domain in zinc finger cw-type pwwp domain protein 1
2E6I,solution structure of the btk motif of tyrosine-protein kinase itk from human
2E9H,solution structure of the eif-5_eif-2b domain from human eukaryotic translation initiation factor 5
2EBV,solution structure of the third zf-ranbp domain from human nuclear pore complex protein nup153
2EGM,solution structure of the zf-b_box domain from human tripartite motif protein 41
2ELI,solution structure of the second phorbol esters/diacylglycerol binding domain of human protein kinase c alpha type
2EO4,crystal structure of hypothetical histidine triad nucleotide-binding protein st2152 from sulfolobus tokodaii strain7
2F8B,nmr structure of the c-terminal domain (dimer) of hpv45 oncoprotein e7
2FE3,the crystal structure of bacillus subtilis perr-zn reveals a novel zn(cys)4 structural redox switch
2FGY,beta carbonic anhydrase from the carboxysomal shell of halothiobacillus neapolitanus (csosca)
2FK4,solution structure of the c-terminal zinc binding domain of the hpv16 e6 oncoprotein
2FR5,crystal structure of mouse cytidine deaminase complexed with tetrahydrouridine
2FU5,structure of rab8 in complex with mss4
2G0D,nisin cyclase
2GFO,structure of the catalytic domain of human ubiquitin carboxyl-terminal hydrolase 8
2GTQ,crystal structure of aminopeptidase n from human pathogen neisseria meningitidis
2H6L,x-ray crystal structure of the metal-containing protein af0104 from archaeoglobus fulgidus. northeast structural genomics consortium target gr103.
2HF1,crystal structure of the putative tetraacyldisaccharide-1-p 4-kinase from chromobacterium violaceum. nesg target cvr39.
2HJH,crystal structure of the sir2 deacetylase
2HJN,structural and functional analysis of saccharomyces cerevisiae mob1
2HSI,"crystal structure of putative peptidase m23 from pseudomonas aeruginosa, new york structural genomics consortium"
2HVY,crystal structure of an h/aca box rnp from pyrococcus furiosus
2I0M,crystal structure of the phosphate transport system regulatory protein phou from streptococcus pneumoniae
2I1O,crystal structure of a nicotinate phosphoribosyltransferase from thermoplasma acidophilum
2IMR,crystal structure of amidohydrolase dr_0824 from deinococcus radiodurans
2IXD,crystal structure of the putative deacetylase bc1534 from bacillus cereus
