PDB ID,Protein Name
2YES,crystal structure of rv0371c complex with manganese from mycobacterium tuberculosis h37rv
2GVD,complex of gs- with the catalytic domains of mammalian adenylyl cyclase: complex with tnp-atp and mn
4DZ4,x-ray crystal structure of a hypothetical agmatinase from burkholderia thailandensis
1YST,"structure of the photochemical reaction center of a spheroidene containing purple bacterium, rhodobacter sphaeroides y, at 3 angstroms resolution"
3A6K,"the e122q mutant creatininase, mn-zn type"
3Q4Q,crystal structure of a deletion mutant(11-185) of hypothetical protein mj0754 with mn2+
3Q2V,crystal structure of mouse e-cadherin ectodomain
1QGQ,udp-manganese complex of spsa from bacillus subtilis
2FC0,"wrn exonuclease, mn dgmp complex"
2YDT,structure of the alpha-l-arabinofuranosidase arb93a from fusarium graminearum in complexe with an iminosugar inhibitor
3NGF,"crystal structure of ap endonuclease, family 2 from brucella melitensis"
1ZM8,apo crystal structure of nuclease a from anabaena sp.
1J25,"crystal structure of archaeal xpf/mus81 homolog, hef from pyrococcus furiosus, nuclease domain, mn cocrystal"
3UAG,udp-n-acetylmuramoyl-l-alanine:d-glutamate ligase
1R2M,atomic resolution structure of the hfbii hydrophobin: a self-assembling amphiphile
3DT7,the structure of rat cytosolic pepck in complex with beta- sulfopyruvate and gtp
4Q3V,crystal structure of schistosoma mansoni arginase in complex with inhibitor bec
3TUX,crystal structure of rtca.atp.mn ternary complex
2IRY,crystal structure of the polymerase domain from mycobacterium tuberculosis ligase d with dgtp and manganese.
4CSW,rhodothermus marinus ycfd-like ribosomal protein l16 arginyl hydroxylase
3HQR,phd2:mn:nog:hif1-alpha substrate complex
2V8J,structure of a family 2 pectate lyase in complex with a transition metal
4AMQ,a megaviridae orfan gene encodes a new nucleotidyl transferase
4G24,crystal structure of proteinaceous rnase p 1 (prorp1) from a. thaliana with mn
2WZF,legionella pneumophila glucosyltransferase crystal structure
1QH3,human glyoxalase ii with cacodylate and acetate ions present in the active site
3JYF,"the crystal structure of a 2,3-cyclic nucleotide 2- phosphodiesterase/3-nucleotidase bifunctional periplasmic precursor protein from klebsiella pneumoniae subsp. pneumoniae mgh 78578"
2O14,x-ray crystal structure of protein yxim_bacsu from bacillus subtilis. northeast structural genomics consortium target sr595
3EXE,crystal structure of the pyruvate dehydrogenase (e1p) component of human pyruvate dehydrogenase complex
3NVT,1.95 angstrom crystal structure of a bifunctional 3-deoxy-7- phosphoheptulonate synthase/chorismate mutase (aroa) from listeria monocytogenes egd-e
4QRN,high-resolution crystal structure of 5-carboxyvanillate decarboxylase (target efi-505250) from novosphingobium aromaticivorans dsm 12444 complexed with manganese and 4-hydroxy-3-methoxy-5-nitrobenzoic acid
1XVL,the three-dimensional structure of mntc from synechocystis 6803
4A25,x-ray structure dps from kineococcus radiotolerans in complex with mn (ii) ions.
3PZT,"structure of the endo-1,4-beta-glucanase from bacillus subtilis 168 with manganese(ii) ion"
2J3M,"prolyl-trna synthetase from enterococcus faecalis complexed with atp, manganese and prolinol"
4LUM,the crystal structure of the p132v mutant of pyrococcus furiosus phosphoglucose isomerase in complex with manganese and fructose-6- phosphate.
1BOW,multidrug-binding domain of transcription activator bmrr (apo form)
1MVO,crystal structure of the phop receiver domain from bacillus subtilis
3HB3,high resolution crystal structure of paracoccus denitrificans cytochrome c oxidase
3QXB,crystal structure of a putative xylose isomerase (yp_426450.1) from rhodospirillum rubrum atcc 11170 at 1.90 a resolution
4QRO,"crystal structure of dihydroxybenzoic acid decarbboxylase bpro_2061 (target efi-500288) from polaromonas sp. js666 with bound manganese and an inhibitor, 2-nitroresorcinol"
3JZV,crystal structure of rru_a2000 from rhodospirillum rubrum: a cupin-2 domain.
